entity_id,event_id,risk_score,anomaly_type,explanation,top_contributing_features
SVC-000033,EVT-0011168,1.0,brute_force,brute_force: 8 failed auth_result attempts from source_ip=125.239.61.42 within 10 min of this event (threshold=4) + source_ip never seen before for this entity,"{""failed_auth_count_in_window"": 8, ""window_minutes"": 10, ""source_ip"": ""125.239.61.42"", ""source_ip_novel_for_entity"": true}"
USR-000094,EVT-0009609,1.0,credential_stuffing,"credential_stuffing: a cluster of 4 related source_ips (117.181.212.172, 30.232.48.98, 37.49.85.73, 47.152.224.207) made 35 auth attempts against 35 distinct entity_ids within 30 min (32/35 = 91% failed) -- breadth-across-accounts pattern, not a single-entity brute_force","{""active_ip_cluster"": [""117.181.212.172"", ""30.232.48.98"", ""37.49.85.73"", ""47.152.224.207""], ""active_ip_cluster_size"": 4, ""cluster_distinct_entities"": 35, ""cluster_total_attempts"": 35, ""cluster_failed_attempts"": 32, ""cluster_failure_rate"": 0.914, ""window_minutes"": 30}"
USR-000014,EVT-0045481,1.0,credential_stuffing,"credential_stuffing: a cluster of 3 related source_ips (173.248.117.254, 31.156.219.205, 62.211.123.255) made 34 auth attempts against 34 distinct entity_ids within 30 min (31/34 = 91% failed) -- breadth-across-accounts pattern, not a single-entity brute_force","{""active_ip_cluster"": [""173.248.117.254"", ""31.156.219.205"", ""62.211.123.255""], ""active_ip_cluster_size"": 3, ""cluster_distinct_entities"": 34, ""cluster_total_attempts"": 34, ""cluster_failed_attempts"": 31, ""cluster_failure_rate"": 0.912, ""window_minutes"": 30}"
SVC-000044,EVT-0030077,1.0,brute_force,brute_force: 29 failed auth_result attempts from source_ip=187.155.245.143 within 10 min of this event (threshold=4) + source_ip never seen before for this entity,"{""failed_auth_count_in_window"": 29, ""window_minutes"": 10, ""source_ip"": ""187.155.245.143"", ""source_ip_novel_for_entity"": true}"
USR-000041,EVT-0018163,1.0,credential_misuse,"credential_misuse: new device_fingerprint (mac=46:98:49:63:f1:64) + unusual geo_location (Lima, Peru, outside this entity's typical set) + off-hours login (hour=21, baseline probability=0.019 < 0.03) occurring together","{""device_novel_for_entity"": true, ""mac_address"": ""46:98:49:63:f1:64"", ""geo_novel_for_entity"": true, ""geo_location"": ""Lima, Peru"", ""off_hours"": true, ""hour"": 21, ""hour_probability_in_baseline"": 0.0189, ""cluster_size_same_device_and_geo"": 1, ""cluster_window_minutes"": 15}"
SVC-000008,EVT-0004479,1.0,unclassified,"flagged by risk_score in the top 1% (risk_score=1.000) but did not match any of the rule conditions (brute_force, credential_stuffing, credential_misuse, device_spoofing, impossible_travel, lateral_movement)","{""risk_score"": 1.0, ""score_method"": ""lstm""}"
SVC-000044,EVT-0030076,1.0,brute_force,brute_force: 29 failed auth_result attempts from source_ip=187.155.245.143 within 10 min of this event (threshold=4) + source_ip never seen before for this entity,"{""failed_auth_count_in_window"": 29, ""window_minutes"": 10, ""source_ip"": ""187.155.245.143"", ""source_ip_novel_for_entity"": true}"
USR-000170,EVT-0008282,1.0,credential_stuffing,"credential_stuffing: a cluster of 2 related source_ips (170.93.63.73, 188.239.68.7) made 38 auth attempts against 38 distinct entity_ids within 30 min (35/38 = 92% failed) -- breadth-across-accounts pattern, not a single-entity brute_force","{""active_ip_cluster"": [""170.93.63.73"", ""188.239.68.7""], ""active_ip_cluster_size"": 2, ""cluster_distinct_entities"": 38, ""cluster_total_attempts"": 38, ""cluster_failed_attempts"": 35, ""cluster_failure_rate"": 0.921, ""window_minutes"": 30}"
DEV-000011,EVT-0007474,1.0,lateral_movement,"lateral_movement: accessed 4 resources outside this entity's normal set within 20 min (wifi-portal -> video-conferencing -> ci-cd-pipeline -> kubernetes-admin-panel), escalating toward less common resources (global access frequency 0.039 -> 0.003)","{""novel_resource_chain"": [""wifi-portal"", ""video-conferencing"", ""ci-cd-pipeline"", ""kubernetes-admin-panel""], ""chain_length"": 4, ""lookback_minutes"": 20, ""global_frequency_first"": 0.0391, ""global_frequency_last"": 0.0029}"
USR-000176,EVT-0010482,1.0,unclassified,"flagged by risk_score in the top 1% (risk_score=1.000) but did not match any of the rule conditions (brute_force, credential_stuffing, credential_misuse, device_spoofing, impossible_travel, lateral_movement)","{""risk_score"": 1.0, ""score_method"": ""lstm""}"
USR-000170,EVT-0045023,1.0,credential_stuffing,"credential_stuffing: a cluster of 3 related source_ips (180.88.238.93, 200.151.58.86, 38.101.126.221) made 34 auth attempts against 34 distinct entity_ids within 30 min (29/34 = 85% failed) -- breadth-across-accounts pattern, not a single-entity brute_force","{""active_ip_cluster"": [""180.88.238.93"", ""200.151.58.86"", ""38.101.126.221""], ""active_ip_cluster_size"": 3, ""cluster_distinct_entities"": 34, ""cluster_total_attempts"": 34, ""cluster_failed_attempts"": 29, ""cluster_failure_rate"": 0.853, ""window_minutes"": 30}"
USR-000102,EVT-0008683,1.0,credential_stuffing,"credential_stuffing: a cluster of 3 related source_ips (157.248.210.86, 197.99.36.184, 68.210.213.182) made 32 auth attempts against 32 distinct entity_ids within 30 min (29/32 = 91% failed) -- breadth-across-accounts pattern, not a single-entity brute_force","{""active_ip_cluster"": [""157.248.210.86"", ""197.99.36.184"", ""68.210.213.182""], ""active_ip_cluster_size"": 3, ""cluster_distinct_entities"": 32, ""cluster_total_attempts"": 32, ""cluster_failed_attempts"": 29, ""cluster_failure_rate"": 0.906, ""window_minutes"": 30}"
DEV-000021,EVT-0007389,1.0,lateral_movement,"lateral_movement: accessed 4 resources outside this entity's normal set within 20 min (email -> chat-app -> wifi-portal -> shared-drive-marketing), escalating toward less common resources (global access frequency 0.035 -> 0.030)","{""novel_resource_chain"": [""email"", ""chat-app"", ""wifi-portal"", ""shared-drive-marketing""], ""chain_length"": 4, ""lookback_minutes"": 20, ""global_frequency_first"": 0.0348, ""global_frequency_last"": 0.0304}"
USR-000120,EVT-0014792,1.0,credential_stuffing,"credential_stuffing: a cluster of 3 related source_ips (189.194.237.154, 79.11.159.211, 96.98.122.252) made 29 auth attempts against 29 distinct entity_ids within 30 min (29/29 = 100% failed) -- breadth-across-accounts pattern, not a single-entity brute_force","{""active_ip_cluster"": [""189.194.237.154"", ""79.11.159.211"", ""96.98.122.252""], ""active_ip_cluster_size"": 3, ""cluster_distinct_entities"": 29, ""cluster_total_attempts"": 29, ""cluster_failed_attempts"": 29, ""cluster_failure_rate"": 1.0, ""window_minutes"": 30}"
